AC,ND,NV,IC,PIC,DBI,SR
0.8273977837,0.2765717949,0.002406891,0.0896187083,0.0186944958,0.9673532168,0.4990384615
0.7653514059,0.8545128007,0.0012410653,0.0058203783,0.000976148,0.9984260004,0
0.9963267846,0.9745957265,0.001025641,0.0067200763,0.0017799851,0.9971011801,0
0.9554524256,0.9397620403,0.0011538553,0.0044487616,0.000773015,0.998643263,0.0213523132
0.8622774352,0.1386416667,0.002896875,0.1278638703,0.0271615365,0.9497514239,0.46875
0.8334615223,0.0146459459,0.0042063063,0.3150686758,0.0821316812,0.8497134282,0.8108108108
0.783603002,0.7843679012,0.0019395062,0.0115344617,0.0016782214,0.9968779091,0.1481481481
0.8508971414,0.1376218107,0.0031864198,0.0772335552,0.0138583027,0.9742806308,0.4382716049
0.8439712424,0.029137931,0.0020942529,0.2476748595,0.064783174,0.8951021633,0
0.8067889128,0.0128857143,0.0021904762,0.3038821876,0.0853536807,0.8664093462,0.1904761905
0.6548704267,0.1182159722,0.0020333333,0.0794511355,0.0158352797,0.9741109576,0.0208333333
1,1,0.001,0,0,1,0
0.9659088816,0.9904952381,0.0010390476,0.001711645,0.0004081224,0.9993525843,0
0.875679748,0.0558153846,0.0029205128,0.1303403104,0.0262379516,0.9523066151,0.2461538462
0.8998416161,0.0120793532,0.0022497512,0.1541685174,0.0337032525,0.9405466555,0.0074626866
0.596140913,0.2488386555,0.0019739496,0.019513966,0.0029029029,0.9950812718,0
0.9074320273,0.0649135802,0.0021333333,0.1328288717,0.0284963976,0.9521830592,0.7037037037
0.9085762257,0.1563340351,0.0027722807,0.0996772293,0.0197404422,0.96426897,0.7126315789
0.9317205794,0.0963515464,0.0029243986,0.0863861708,0.0161928251,0.9706635166,0.583161512
0.9217296645,0.02327,0.00898,0.1861641153,0.0382902903,0.9220443734,0.88
0.9086830444,0.0245936508,0.0024285714,0.1634585793,0.036399892,0.9370661273,0.6666666667
0.7272945109,0.5329453258,0.0015028329,0.0076125374,0.0010915543,0.9981460044,0
0.9458743913,0.6620929825,0.0018935673,0.0444246935,0.0094322393,0.9835939214,0.1271929825
0.3853075552,0.1591426106,0.0020231392,0.0154114515,0.0022422638,0.9960684958,0.029180151
0.5911545571,0.2063424242,0.0021331169,0.0181153569,0.0025462692,0.9952438501,0.0270562771
0.9492386628,0.81298,0.0012,0.0359852045,0.0086931376,0.986165904,0.0666666667
0.8378320402,0.2518365854,0.0028149051,0.0461021555,0.0073490835,0.9858384486,0.254200542
0.8245783092,0.1160777778,0.0027077778,0.117280524,0.0248459571,0.9557030464,0.4277777778
0.9645142515,0.8015864865,0.0015018018,0.0248076505,0.0046199353,0.9907286115,0.1621621622
0.9686019781,0.7384859813,0.0013510903,0.0280779724,0.0055766046,0.9901273045,0.0909657321
0.8785116166,0.0812506173,0.0060123457,0.1447625971,0.0305095219,0.941683836,0.912345679
0.8752552426,0.1112651163,0.0041081395,0.1406692216,0.0307819447,0.9450493644,0.5651162791
0.9211644233,0.3487355556,0.0028192593,0.0851363677,0.0177718459,0.9678390493,0.2888888889
0.9256594685,0.2049534392,0.0089835979,0.1115940135,0.021069747,0.9565545262,0.7936507937
0.8455844215,0.5651815603,0.0021231678,0.0498604821,0.0110223699,0.9806539062,0.7553191489
0.8831739643,0.0425558897,0.0053072682,0.1602004542,0.033424151,0.9358063674,0.8644110276
0.8268444266,0.2980467714,0.0020764398,0.0487225748,0.0085977775,0.9846656738,0.0366492147
0.8196803813,0.2471497717,0.0029598174,0.1196117638,0.0262198271,0.9546868135,0.0908675799
0.7197805394,0.4910468864,0.0019998779,0.034173089,0.0064632398,0.9884154618,0.0293040293
0.7318739264,0.3259308313,0.0031987086,0.0553624343,0.0097764431,0.9816961438,0.3167070218
0.6539968227,0.7533816092,0.0015666667,0.022016071,0.0049156436,0.9917783637,0.0344827586
0.6777402456,0.6620485095,0.0018984282,0.02197673,0.0039919052,0.9930141995,0.0658536585
0.8039559393,0.4221027211,0.0020442177,0.0358885913,0.0064254731,0.9885267533,0.137414966
0.770306916,0.3768407143,0.0022252381,0.0782154445,0.0164783831,0.9714311582,0.1188095238
0.8659879621,0.1235523207,0.0034670886,0.0945628249,0.0182845293,0.9666937987,0.6957805907
0.9840643785,0.9657241379,0.0010344828,0.0185441622,0.0070300185,0.9912119474,0
0.8342233478,0.0106479167,0.0062885417,0.3060242714,0.0758852603,0.8475456948,0.8125
0.720640654,0.0190349206,0.0030873016,0.2933305024,0.0802739247,0.8670131952,0.8571428571
0.7227899149,0.0225433333,0.0030683333,0.2734058925,0.0720203537,0.8795629467,0.8833333333
0.9026398091,0.5286511111,0.0022266667,0.0431065881,0.0073117562,0.9849459613,0.9333333333
0.9056760148,0.5877301587,0.0020037698,0.0773394061,0.0191896261,0.9667064962,0.4617063492
0.9481451083,0.9471384397,0.0011679433,0.0046236208,0.0010444194,0.9982132437,0.0085106383
0.9380442955,0.0599244444,0.00369,0.1082438265,0.0210516072,0.9616078416,0.2
0.8325205694,0.0481430108,0.0053491039,0.1384423748,0.0292500386,0.9463472837,0.4501792115
0.6141565845,0.1063696581,0.0027247863,0.0889954615,0.0162547163,0.970511144,0.2307692308
0.8717047319,0.0907733333,0.004112,0.1170100543,0.0232792793,0.9578078396,0.5173333333
0.8805560526,0.0981735632,0.0071125,0.1251216365,0.0251419523,0.951688096,0.7349137931
0.871758828,0.0280871795,0.0027782051,0.188197416,0.0438695105,0.9250635748,0.5782051282
0.9111191049,0.0422166667,0.0035434211,0.1385779269,0.0306732171,0.9489010151,0.7337719298
1,1,0.001,0,0,1,0
0.8166278502,0.31967713,0.002757997,0.0457311543,0.0074699513,0.9859059918,0.4182361734
0.8903313258,0.0290416667,0.0088052083,0.1767844172,0.0350465048,0.9236092624,0.8166666667
0.9216257808,0.2638666667,0.0017777778,0.151641151,0.0365513662,0.939650185,0.2222222222
0.8484926606,0.1312648148,0.002837037,0.228126202,0.0589719349,0.8990416402,0.6111111111
0.8492432633,0.1339073333,0.0033806667,0.0913730132,0.0177744411,0.9685427507,0.2293333333
0.8894162335,0.3067884615,0.0021371795,0.0742152437,0.0151305151,0.9737643706,0.5205128205
0.8228193851,0.0221714286,0.0034952381,0.274080134,0.0711246961,0.8755332969,0.5166666667
0.8677869645,0.0820281818,0.0025606061,0.1302652721,0.0275090242,0.9526142684,0.5090909091
0.9422955823,0.0494246575,0.0023027397,0.1170767825,0.0236419067,0.9583119338,0.6397260274
0.9417716843,0.0343507246,0.0021714976,0.1312373667,0.0272262601,0.9520566945,0.7101449275
0.9906278421,0.9330505863,0.0011541039,0.0097275826,0.0020875147,0.9960710857,0.0502512563
0.8798488502,0.0928114198,0.0061574074,0.0967887688,0.0165294925,0.9656071775,0.6449074074
0.8724051899,0.6113341058,0.0020086156,0.03529393,0.0067651728,0.9878877225,0.2428401664
0.8591533043,0.1059555556,0.0026700855,0.1289557857,0.0277491166,0.9515654979,0.641025641
0.7439513414,0.084656705,0.0155045977,0.378917202,0.106703255,0.8016571907,0.3486590038
0.8585712894,0.2417403846,0.0022923077,0.0642017496,0.0119285953,0.9794870978,0.0384615385
0.8762702286,0.0610454545,0.0021527273,0.142725694,0.0311584312,0.9473841468,0.3242424242
0.8666841582,0.0157657143,0.0110780952,0.2888940262,0.0649315983,0.858569959,0.7552380952
0.8557120371,0.015965,0.0084304167,0.2816999264,0.0690548882,0.8677918085,0.7479166667
0.9480202864,0.1380485075,0.0026308458,0.0785159836,0.0140914546,0.9740427916,0.6552238806
0.917530797,0.0591887387,0.0026752252,0.1312146293,0.0271090911,0.9505909329,0.6788288288
0.8887016351,0.2762910256,0.002067735,0.0590064005,0.0108771164,0.9806616899,0.5457264957
0.8173977587,0.7152005714,0.0014580952,0.0256575199,0.0059324086,0.9901998006,0.0057142857
0.8054302839,0.0097803922,0.0043529412,0.3462710539,0.0972286012,0.8362707029,0.8921568627
0.8377087767,0.563990942,0.0021094203,0.0285722728,0.0046999898,0.9916055528,0.4898550725
0.8522110156,0.307735,0.0023533333,0.0645743913,0.0117867868,0.9791350334,0.125
0.9858895166,0.9240481481,0.0011074074,0.0050316634,0.0008489971,0.9985357816,0
0.8719508956,0.5986142857,0.0018095238,0.0310221259,0.0055198055,0.9904017822,0.1904761905
0.6953993684,0.0368508772,0.0042122807,0.3353154071,0.0957150133,0.842884604,0.4736842105
0.8307195453,0.626499537,0.0016587963,0.0317084094,0.0063058429,0.9888337292,0.1615740741
1,1,0.001,0,0,1,0
0.7918098201,0.8141333333,0.0013096774,0.0119106477,0.002567442,0.9957968801,0
0.6772925538,0.8007826087,0.0014768116,0.0101174986,0.0016871944,0.9972255668,0
0.8772710158,0.4788755102,0.0024455782,0.121656112,0.0297052154,0.9480047334,0.1948979592
0.9074208412,0.3811546366,0.0034411028,0.0689851715,0.0138727473,0.9747290166,0.4140350877
0.9253780614,0.0331014925,0.002458209,0.146501228,0.0316540421,0.9445808172,0.8149253731
0.8745139667,0.2125995305,0.0034699531,0.1199981028,0.0246161655,0.9519047616,0.585915493
0.8049003541,0.9003302428,0.0012399558,0.0036296628,0.0006006006,0.9990728215,0
0.7547996114,0.4305040189,0.0024789598,0.0433652099,0.0072107569,0.9863350629,0.1966903073
0.9149491786,0.088992517,0.0031863946,0.1033786104,0.0200765391,0.9626609773,0.7459183673
0.8612550723,0.038062069,0.0022333333,0.1399265283,0.0302601452,0.948494337,0.2091954023
0.8271035502,0.0208025641,0.0021538462,0.2247171467,0.0563101563,0.9073096732,0.0846153846
0.984027434,0.9447188406,0.0010768116,0.0062846766,0.0012998506,0.9977963088,0.0637681159
0.8054789095,0.0021666667,0.003529386,0.1521123121,0.0316575903,0.9382169388,0.4057017544
0.8138708638,0.0754192412,0.0035552846,0.1243245149,0.0249463556,0.9549408738,0.4902439024
0.8542083243,0.0169942029,0.0184826087,0.2665544359,0.065722244,0.8791216603,0.8695652174
0.7393331477,0.0182311111,0.0030155556,0.2770519029,0.0709376043,0.8804182521,0.5311111111
0.8120935411,0.1184416667,0.0023533333,0.1090074334,0.0221985734,0.9613803967,0.1116666667
0.8833532423,0.086367619,0.0033895238,0.1302809862,0.0271643072,0.9511742089,0.6238095238
0.8678119065,0.1783356522,0.0025776812,0.0882519764,0.017073015,0.9685980987,0.715942029
0.9021629727,0.5334362319,0.004615942,0.0383313129,0.006291799,0.9868343457,0.7391304348
0.8457976076,0.2842515152,0.0028575758,0.0771091855,0.0150141483,0.9724468512,0.4666666667
0.8084144706,0.2861233766,0.002895671,0.0816010223,0.0157820158,0.9708661899,0.4658008658
0.864093682,0.1608266667,0.0032744444,0.0879449677,0.0163963964,0.9685020354,0.7722222222
0.856791016,0.2943318008,0.0028183908,0.0683433615,0.0125433597,0.97583807,0.5034482759
0.8748146699,0.3481574713,0.0026957854,0.0673961189,0.0124177818,0.9760032844,0.5003831418
0.8838208731,0.2185738889,0.0028305556,0.0902025852,0.017091536,0.9672582837,0.7866666667
0.8345568418,0.2730781732,0.0034016607,0.0615409931,0.0111862752,0.9788789918,0.6970344009
0.845496788,0.2966232323,0.0025941639,0.047515636,0.0076902941,0.9853994603,0.6061728395
0.8712632501,0.293656168,0.0024615486,0.047751564,0.0081508017,0.9850490148,0.5590551181
0.8688369192,0.2920326772,0.0024360892,0.0500702569,0.0087156711,0.984053685,0.574015748
0.8929122502,0.1222760417,0.0025104167,0.1191439729,0.0246465215,0.955608844,0.40625
0.5662086329,0.5057366667,0.0016016667,0.0181738297,0.004301635,0.9933235616,0
0.7403262783,0.0133696429,0.0076464286,0.3609683326,0.1050008342,0.8257400971,0.7678571429
0.8444857208,0.2182732323,0.002369697,0.0559436223,0.0096515708,0.9827449084,0.9060606061
0.8776417252,0.011502589,0.0091747573,0.239467232,0.0550320547,0.8920106436,0.825566343
0.8613536498,0.6069624242,0.0016369697,0.0577983316,0.0130609813,0.9779969641,0.0890909091
0.7686708891,0.1427756098,0.0029276423,0.0800583324,0.0142549053,0.973530169,0.487804878
0.787006718,0.3240435897,0.0045397436,0.117320431,0.027636611,0.9518005198,0.0769230769
0.8100322277,0.1348782609,0.002315942,0.1938234718,0.0496380438,0.9187885347,0
0.8739466798,0.1603365854,0.0030666667,0.0779969115,0.0146105455,0.9740285117,0.3658536585
0.8484072664,0.0251811594,0.0151289855,0.2303293259,0.0538538539,0.9007869169,0.347826087
0.8418593059,0.1738090395,0.0084957627,0.1334226213,0.0263492306,0.9429880136,0.3748587571
0.8843217693,0.7561720721,0.0098797297,0.0515148232,0.0135062991,0.9730202586,0.7382882883
0.7989473265,0.1079666667,0.0049737374,0.1040094065,0.0206954429,0.9628542969,0.5838383838
0.7590760894,0.0441886905,0.0053440476,0.1646206746,0.0369178703,0.9359314974,0.875
0.9197468963,0.0400587065,0.0039626866,0.1360228159,0.0272879845,0.949123244,0.4843283582
0.8546870304,0.1174942029,0.0094681159,0.1401465305,0.0271039155,0.9403972029,0.852173913
0.9530123902,0.8876627451,0.0011627451,0.0107445724,0.0028057469,0.9956840707,0
0.8936791578,0.1192927536,0.0026492754,0.1035363855,0.0204030117,0.9633728398,0.6144927536
0.8082648029,0.4517937659,0.0024590331,0.0290347451,0.0042920783,0.9915384478,0.6305343511
0.9548350212,0.1337319728,0.0133384354,0.1297029754,0.0237695178,0.9438937749,0.8583333333
0.8430858532,0.1156583333,0.0039460317,0.1031660968,0.0198404754,0.9624513125,0.6
0.9284627817,0.5309083333,0.0017541667,0.0775033076,0.0182001446,0.9694760842,0.3333333333
0.8522775657,0.1433678571,0.0019261905,0.094731605,0.0191143524,0.9676879206,0.4642857143
0.9682644244,0.5258304348,0.0019130435,0.0710444843,0.0133205669,0.9728708982,0.0869565217
0.9625269795,0.9615652381,0.0010761905,0.0041801046,0.0008046141,0.9986404819,0
0.8915110903,0.3027222222,0.0017980159,0.1370644645,0.0326127715,0.9458727565,0.0119047619
0.9161412226,0.5026395604,0.0031172161,0.0439753869,0.0073469073,0.9851534576,0.4205128205
0.7621955569,0.0209878788,0.0021333333,0.2267228153,0.0579549246,0.9074879971,0.0909090909
0.9195742843,0.0311059524,0.002522619,0.1662993599,0.0367593784,0.9357684334,0.6071428571
0.9158756819,0.0327511905,0.0023857143,0.1732803055,0.039006864,0.932318726,0.6071428571
0.7980122164,0.0897946237,0.002811828,0.1029080229,0.0169384438,0.9645831516,0.064516129
0.9490169764,0.0561216,0.0023109333,0.1008736137,0.0195673006,0.9649918232,0.4962666667
0.9123808959,0.3706368421,0.0023254386,0.0506254578,0.0091556469,0.9835286434,0.5263157895
0.911299963,0.0389694444,0.002,0.1435976675,0.0315843621,0.946549138,0
0.8748554671,0.1664814103,0.0027634615,0.1005927828,0.0203832037,0.963826355,0.7506410256
0.8687536829,0.108892517,0.0027238095,0.0964033841,0.0192416907,0.9664384085,0.6462585034
0.7535898127,0.2842354167,0.0022569444,0.0559944285,0.01093107,0.9814767639,0.2083333333
0.9220639563,0.0573619048,0.0036910714,0.1241072025,0.025380142,0.9539039246,0.5
0.8346419101,0.0080770833,0.0037020833,0.3139491227,0.0795754087,0.8534519798,0.25
